sqe-cli 0.36.0 connected to http://localhost:50051 (flight)
+------+-------------------------------------------------------------+-------------+--------------------+--------------+----------------+-------------+---------------+--------------+
| step | operation                                                   | output_rows | elapsed_ms         | output_bytes | output_batches | spill_count | spilled_bytes | spilled_rows |
| 67   | ProjectionExec                                              | 1           | 0.000841           | 8            | 1              |             |               |              |
| 68   | IcebergScanExec                                             | 120         | 2.003664           | 0            | 0              |             |               |              |
| 69   | RepartitionExec                                             | 120         | 0.025709           | 34404        | 1              | 0           | 0             | 0            |
| 70   | FilterExec                                                  | 0           | 0.011515           | 0            | 0              |             |               |              |
| 71   | CoalescePartitionsExec                                      | 0           | 0.008689           | 0            | 0              |             |               |              |
| 72   | IcebergScanExec                                             | 86400       | 2.580179           | 0            | 0              |             |               |              |
| 73   | RepartitionExec                                             | 86400       | 0.010636           | 1081344      | 11             | 0           | 0             | 0            |
| 74   | FilterExec                                                  | 1800        | 0.186691           | 32768        | 1              |             |               |              |
| 75   | CoalescePartitionsExec                                      | 1800        | 0.008933           | 32768        | 1              |             |               |              |
| 76   | IcebergScanExec                                             | 7200        | 2.430231           | 0            | 0              |             |               |              |
| 77   | RepartitionExec                                             | 7200        | 0.002507           | 57600        | 1              | 0           | 0             | 0            |
| 78   | FilterExec                                                  | 2160        | 0.05995            | 32768        | 1              |             |               |              |
| 79   | CoalescePartitionsExec                                      | 2160        | 0.009588           | 32768        | 1              |             |               |              |
| 80   | IcebergScanExec                                             | 172571      | 21.786722          | 0            | 0              |             |               |              |
| 81   | RepartitionExec                                             | 172571      | 9.46402            | 2359296      | 24             | 0           | 0             | 0            |
| 82   | HashJoinExec                                                | 172571      | 4.565023           | 1460440      | 24             |             |               |              |
| 83   | HashJoinExec                                                | 172571      | 3.784431           | 730220       | 24             |             |               |              |
| 84   | HashJoinExec                                                | 0           | 0.074168           | 0            | 0              |             |               |              |
| 85   | AggregateExec                                               | 8           | 0.086871           | 64           | 8              |             |               |              |
| 86   | CoalescePartitionsExec                                      | 8           | 0.006534           | 64           | 8              |             |               |              |
| 87   | AggregateExec                                               | 1           | 0.005783           | 8            | 1              |             |               |              |
| 88   | ProjectionExec                                              | 1           | 0.001362           | 8            | 1              |             |               |              |
| 89   | IcebergScanExec                                             | 120         | 4.080449           | 0            | 0              |             |               |              |
| 90   | RepartitionExec                                             | 120         | 0.018303           | 34404        | 1              | 0           | 0             | 0            |
| 91   | FilterExec                                                  | 0           | 0.012436           | 0            | 0              |             |               |              |
| 92   | CoalescePartitionsExec                                      | 0           | 0.006136           | 0            | 0              |             |               |              |
| 93   | IcebergScanExec                                             | 86400       | 2.018479           | 0            | 0              |             |               |              |
| 94   | RepartitionExec                                             | 86400       | 0.010646           | 1081344      | 11             | 0           | 0             | 0            |
| 95   | FilterExec                                                  | 1800        | 0.235951           | 32768        | 1              |             |               |              |
| 96   | CoalescePartitionsExec                                      | 1800        | 0.008596           | 32768        | 1              |             |               |              |
| 97   | IcebergScanExec                                             | 7200        | 0.773322           | 0            | 0              |             |               |              |
| 98   | RepartitionExec                                             | 7200        | 0.004556           | 57600        | 1              | 0           | 0             | 0            |
| 99   | FilterExec                                                  | 2160        | 0.058012           | 32768        | 1              |             |               |              |
| 100  | CoalescePartitionsExec                                      | 2160        | 0.008153           | 32768        | 1              |             |               |              |
| 101  | IcebergScanExec                                             | 172485      | 19.764967          | 0            | 0              |             |               |              |
| 102  | RepartitionExec                                             | 172485      | 28.05755           | 2359296      | 24             | 0           | 0             | 0            |
| 103  | HashJoinExec                                                | 172485      | 3.335912           | 1495440      | 24             |             |               |              |
| 104  | HashJoinExec                                                | 172485      | 2.602475           | 747720       | 24             |             |               |              |
| 105  | HashJoinExec                                                | 0           | 0.072593           | 0            | 0              |             |               |              |
| 106  | AggregateExec                                               | 8           | 0.109011           | 64           | 8              |             |               |              |
| 107  | CoalescePartitionsExec                                      | 8           | 0.006315           | 64           | 8              |             |               |              |
| 108  | AggregateExec                                               | 1           | 0.005366           | 8            | 1              |             |               |              |
| 109  | ProjectionExec                                              | 1           | 0.000887           | 8            | 1              |             |               |              |
| 110  | IcebergScanExec                                             | 120         | 1.058953           | 0            | 0              |             |               |              |
| 111  | RepartitionExec                                             | 120         | 0.026394           | 34404        | 1              | 0           | 0             | 0            |
| 112  | FilterExec                                                  | 0           | 0.010556           | 0            | 0              |             |               |              |
| 113  | CoalescePartitionsExec                                      | 0           | 0.006007           | 0            | 0              |             |               |              |
| 114  | IcebergScanExec                                             | 86400       | 6.085158           | 0            | 0              |             |               |              |
| 115  | RepartitionExec                                             | 86400       | 0.012778           | 1081344      | 11             | 0           | 0             | 0            |
| 116  | FilterExec                                                  | 1800        | 0.279878           | 32768        | 1              |             |               |              |
| 117  | CoalescePartitionsExec                                      | 1800        | 0.005459           | 32768        | 1              |             |               |              |
| 118  | IcebergScanExec                                             | 7200        | 1.017661           | 0            | 0              |             |               |              |
| 119  | RepartitionExec                                             | 7200        | 0.004615           | 57600        | 1              | 0           | 0             | 0            |
| 120  | FilterExec                                                  | 2160        | 0.058692           | 32768        | 1              |             |               |              |
| 121  | CoalescePartitionsExec                                      | 2160        | 0.005606           | 32768        | 1              |             |               |              |
| 122  | IcebergScanExec                                             | 172511      | 19.691056          | 0            | 0              |             |               |              |
| 123  | RepartitionExec                                             | 172511      | 11.901963          | 2359296      | 24             | 0           | 0             | 0            |
| 124  | HashJoinExec                                                | 172511      | 3.46447            | 1416304      | 24             |             |               |              |
| 125  | HashJoinExec                                                | 172511      | 2.151108           | 708152       | 24             |             |               |              |
| 126  | HashJoinExec                                                | 0           | 0.053782           | 0            | 0              |             |               |              |
