sqe-cli 0.36.0 connected to http://localhost:50051 (flight)
(121 rows)
+------+-------------------------------------------------------------+-------------+--------------------+--------------+----------------+-------------+---------------+--------------+
| step | operation                                                   | output_rows | elapsed_ms         | output_bytes | output_batches | spill_count | spilled_bytes | spilled_rows |
| 67   | NestedLoopJoinExec                                          | 1           | 1.734677           | 524288       | 1              |             |               |              |
| 68   | IcebergScanExec                                             | 5820439     | 3.220275           | 0            | 0              |             |               |              |
| 69   | RepartitionExec                                             | 5820439     | 108.15781          | 69992448     | 712            | 0           | 0             | 0            |
| 70   | FilterExec                                                  | 5820439     | 47.942183          | 46661632     | 712            |             |               |              |
| 71   | AggregateExec                                               | 8           | 7.749939           | 128          | 8              |             |               |              |
| 72   | CoalescePartitionsExec                                      | 8           | 0.004886           | 128          | 8              |             |               |              |
| 73   | AggregateExec                                               | 1           | 0.007345           | 8            | 1              |             |               |              |
| 74   | NestedLoopJoinExec                                          | 1           | 1.889787           | 589824       | 1              |             |               |              |
| 75   | IcebergScanExec                                             | 5816484     | 3.289234           | 0            | 0              |             |               |              |
| 76   | RepartitionExec                                             | 5816484     | 125.464199         | 23330816     | 712            | 0           | 0             | 0            |
| 77   | FilterExec                                                  | 5816484     | 31.394948          | 0            | 712            |             |               |              |
| 78   | AggregateExec                                               | 8           | 10.538357          | 64           | 8              |             |               |              |
| 79   | CoalescePartitionsExec                                      | 8           | 0.005052           | 64           | 8              |             |               |              |
| 80   | AggregateExec                                               | 1           | 0.006174           | 8            | 1              |             |               |              |
| 81   | ProjectionExec                                              | 1           | 0.001155           | 8            | 1              |             |               |              |
| 82   | NestedLoopJoinExec                                          | 1           | 2.051605           | 655360       | 1              |             |               |              |
| 83   | IcebergScanExec                                             | 5816484     | 4.685629           | 0            | 0              |             |               |              |
| 84   | RepartitionExec                                             | 5816484     | 108.875875         | 69992448     | 712            | 0           | 0             | 0            |
| 85   | FilterExec                                                  | 5816484     | 59.185673          | 46661632     | 712            |             |               |              |
| 86   | AggregateExec                                               | 8           | 7.191548           | 128          | 8              |             |               |              |
| 87   | CoalescePartitionsExec                                      | 8           | 0.004759           | 128          | 8              |             |               |              |
